Ligne	"Horaire"	Retard	"Date"	"Usager"
4	"15:01"	1	"23 mars"	"Madame Durand"
4	"12:25"	1	"24 mars"	"Madame Durand"
4	"18:32"	4	"26 mars"	"Madame Durand"
4	"20:08"	0	"29 mars"	"Madame Durand"
4	"11:54"	0	"31 mars"	"Madame Durand"
7	"16:24"	3	"6 mars"	"Jeannine Lopez"
7	"8:48"	0	"9 mars"	"Jeannine Lopez"
7	"13:33"	1	"10 mars"	"Jeannine Lopez"
7	"6:32"	2	"11 mars"	"Jeannine Lopez"
7	"17:39"	4	"14 mars"	"Jeannine Lopez"
7	"6:30"	-2	"14 mars"	"Jeannine Lopez"
7	"12:28"	2	"15 mars"	"Jeannine Lopez"
7	"16:43"	5	"15 mars"	"Jeannine Lopez"
7	"11:22"	1	"16 mars"	"Jeannine Lopez"
7	"16:44"	1	"18 mars"	"Jeannine Lopez"
7	"16:27"	-2	"19 mars"	"Jeannine Lopez"
7	"10:45"	2	"20 mars"	"Jeannine Lopez"
7	"19:29"	-1	"20 mars"	"Jeannine Lopez"
7	"20:21"	2	"20 mars"	"Jeannine Lopez"
7	"20:33"	1	"22 mars"	"Jeannine Lopez"
7	"18:36"	0	"26 mars"	"Jeannine Lopez"
7	"18:47"	2	"26 mars"	"Jeannine Lopez"
7	"17:22"	0	"29 mars"	"Jeannine Lopez"
10	"7:43"	2	"2 mars"	"Antoine"
10	"11:50"	1	"4 mars"	"Antoine"
10	"8:29"	2	"5 mars"	"Antoine"
10	"18:27"	5	"5 mars"	"Antoine"
10	"15:14"	2	"6 mars"	"Antoine"
10	"17:09"	1	"7 mars"	"Antoine"
10	"6:04"	0	"7 mars"	"Antoine"
10	"11:06"	2	"8 mars"	"Antoine"
10	"20:47"	1	"9 mars"	"Antoine"
10	"14:29"	5	"9 mars"	"Antoine"
10	"19:11"	-2	"11 mars"	"Antoine"
10	"14:52"	2	"19 mars"	"Antoine"
10	"6:35"	0	"19 mars"	"Antoine"
10	"9:20"	-2	"19 mars"	"Antoine"
10	"7:11"	1	"19 mars"	"Antoine"
10	"18:20"	0	"21 mars"	"Antoine"
10	"8:55"	1	"22 mars"	"Antoine"
10	"10:10"	1	"23 mars"	"Antoine"
10	"14:34"	1	"24 mars"	"Antoine"
10	"14:55"	11	"25 mars"	"Antoine"
10	"14:10"	2	"28 mars"	"Antoine"
10	"10:22"	1	"29 mars"	"Antoine"
10	"16:29"	5	"29 mars"	"Antoine"
10	"8:57"	0	"30 mars"	"Antoine"
10	"8:39"	-1	"1 mars"	"jocelyne"
10	"8:32"	0	"1 mars"	"jocelyne"
10	"9:20"	1	"2 mars"	"jocelyne"
10	"10:43"	1	"3 mars"	"jocelyne"
10	"16:21"	1	"3 mars"	"jocelyne"
10	"17:24"	-2	"3 mars"	"jocelyne"
10	"16:23"	2	"3 mars"	"jocelyne"
10	"7:15"	11	"4 mars"	"jocelyne"
10	"19:17"	1	"4 mars"	"jocelyne"
10	"7:12"	-1	"4 mars"	"jocelyne"
10	"13:29"	4	"7 mars"	"jocelyne"
10	"10:28"	0	"7 mars"	"jocelyne"
10	"17:06"	1	"8 mars"	"jocelyne"
10	"10:45"	2	"8 mars"	"jocelyne"
10	"9:20"	5	"8 mars"	"jocelyne"
10	"17:44"	7	"9 mars"	"jocelyne"
10	"12:58"	1	"10 mars"	"jocelyne"
10	"16:01"	0	"11 mars"	"jocelyne"
10	"8:23"	1	"12 mars"	"jocelyne"
10	"12:19"	3	"17 mars"	"jocelyne"
10	"11:32"	3	"18 mars"	"jocelyne"
10	"13:12"	1	"19 mars"	"jocelyne"
10	"18:29"	2	"19 mars"	"jocelyne"
10	"18:49"	2	"20 mars"	"jocelyne"
10	"7:27"	0	"22 mars"	"jocelyne"
10	"9:31"	2	"22 mars"	"jocelyne"
10	"11:16"	-1	"22 mars"	"jocelyne"
10	"10:39"	2	"24 mars"	"jocelyne"
10	"14:58"	0	"25 mars"	"jocelyne"
10	"20:22"	-1	"26 mars"	"jocelyne"
10	"19:48"	0	"26 mars"	"jocelyne"
10	"8:30"	1	"27 mars"	"jocelyne"
10	"9:13"	-1	"27 mars"	"jocelyne"
10	"8:16"	1	"28 mars"	"jocelyne"
10	"12:29"	1	"30 mars"	"jocelyne"
10	"9:08"	0	"30 mars"	"jocelyne"
10	"16:00"	1	"4 mars"	"Stephanie"
10	"12:27"	0	"5 mars"	"Stephanie"
10	"11:13"	1	"14 mars"	"Stephanie"
10	"15:18"	-1	"15 mars"	"Stephanie"
10	"18:04"	1	"15 mars"	"Stephanie"
10	"16:44"	1	"23 mars"	"Stephanie"
10	"8:57"	2	"25 mars"	"Stephanie"
10	"11:52"	3	"25 mars"	"Stephanie"
10	"7:29"	1	"26 mars"	"Stephanie"
10	"6:30"	0	"28 mars"	"Stephanie"
10	"13:43"	1	"29 mars"	"Stephanie"
10	"20:49"	1	"30 mars"	"Stephanie"
10	"17:33"	-2	"30 mars"	"Stephanie"
10	"12:49"	1	"2 mars"	"Tony Lopez"
10	"8:27"	1	"2 mars"	"Tony Lopez"
10	"11:55"	4	"3 mars"	"Tony Lopez"
10	"19:47"	2	"3 mars"	"Tony Lopez"
10	"18:05"	-1	"4 mars"	"Tony Lopez"
10	"17:23"	1	"5 mars"	"Tony Lopez"
10	"19:22"	1	"7 mars"	"Tony Lopez"
10	"14:42"	10	"7 mars"	"Tony Lopez"
10	"16:46"	1	"8 mars"	"Tony Lopez"
10	"6:48"	1	"8 mars"	"Tony Lopez"
10	"17:09"	8	"13 mars"	"Tony Lopez"
10	"16:11"	4	"15 mars"	"Tony Lopez"
10	"7:05"	2	"16 mars"	"Tony Lopez"
10	"10:04"	1	"17 mars"	"Tony Lopez"
10	"17:18"	3	"17 mars"	"Tony Lopez"
10	"12:06"	1	"17 mars"	"Tony Lopez"
10	"14:48"	3	"18 mars"	"Tony Lopez"
10	"18:10"	-1	"18 mars"	"Tony Lopez"
10	"17:36"	-1	"19 mars"	"Tony Lopez"
10	"10:42"	7	"20 mars"	"Tony Lopez"
10	"14:05"	1	"20 mars"	"Tony Lopez"
10	"10:32"	1	"20 mars"	"Tony Lopez"
10	"16:41"	1	"21 mars"	"Tony Lopez"
10	"9:46"	-4	"21 mars"	"Tony Lopez"
10	"20:52"	3	"21 mars"	"Tony Lopez"
10	"14:25"	1	"21 mars"	"Tony Lopez"
10	"9:52"	-1	"22 mars"	"Tony Lopez"
10	"17:31"	3	"22 mars"	"Tony Lopez"
10	"16:28"	2	"23 mars"	"Tony Lopez"
10	"17:00"	-2	"24 mars"	"Tony Lopez"
10	"13:54"	-2	"26 mars"	"Tony Lopez"
10	"15:18"	1	"26 mars"	"Tony Lopez"
10	"17:08"	-1	"27 mars"	"Tony Lopez"
10	"18:34"	-1	"27 mars"	"Tony Lopez"
10	"9:20"	1	"27 mars"	"Tony Lopez"
10	"15:22"	2	"28 mars"	"Tony Lopez"
10	"15:55"	5	"28 mars"	"Tony Lopez"
10	"18:27"	0	"28 mars"	"Tony Lopez"
10	"12:13"	1	"28 mars"	"Tony Lopez"
10	"18:43"	2	"30 mars"	"Tony Lopez"
